date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-08-02,"""Аэрофлот"" сократил квартальный убыток по РСБУ на 95%",0,1,"trend,volatility",neutral_vol,business,-1,53,3,сократить квартальный убыток,AFLT
2021-08-02,"""Аэрофлот"" сократил квартальный убыток по РСБУ на 95%",0,1,"trend,volatility",neutral_vol,business,-1,53,3,сократить квартальный убыток,AFLT
2021-08-18,"""Аэрофлот"" снизил на 25% цену субсидированных билетов для дальневосточников",0,0,trend,neutral,russia,0,75,5,снизить цена субсидировать билет дальневосточник,AFLT
2021-09-06,"""Аэрофлот"" не будет выплачивать дивиденды за 2021 год",0,0,trend,neutral,business,1,53,4,выплачивать дивиденд 2021 год,AFLT
2021-11-15,"Путин заявил, что ""Аэрофлот"" не причастен к перевозке мигрантов в Белоруссию",0,0,trend,neutral,russia,0,76,4,заявить причастный перевозка мигрант,AFLT
2022-01-05,"""Аэрофлот"" отменил рейсы в Казахстан до 8 января",1,0,trend,up,russia,0,48,4,отменить рейс 8 январь,AFLT
2022-06-02,"МИД РФ заявил протест послу Шри-Ланки из-за задержания самолета ""Аэрофлота""",-1,1,"trend,volatility",down_vol,russia,0,75,5,заявить протест посол задержание самолет,AFLT
2022-06-02,"Россия попросила Шри-Ланку разрешить вылет арестованному самолету ""Аэрофлота""",-1,1,"trend,volatility",down_vol,world,0,77,5,попросить разрешить вылет арестовать самолет,AFLT
2022-06-02,"""Аэрофлот"" приостанавливает рейсы на Шри-Ланку в связи с арестом самолета",-1,1,"trend,volatility",down_vol,world,0,73,5,приостанавливать рейс связь арест самолет,AFLT
2022-06-03,"Дело о самолете ""Аэрофлота"" на Шри-Ланке рассмотрят на судебном и дипломатическом уровнях",1,0,trend,up,world,0,89,6,дело самолет рассмотреть судебный дипломатический уровень,AFLT
2022-07-04,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,trend,up,business,0,89,8,конец год выделить отдельный структура техобслуживание ремонт самолет,AFLT
2022-07-04,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,trend,up,business,0,89,8,конец год выделить отдельный структура техобслуживание ремонт самолет,AFLT
2022-07-05,"Суд признал виновным замглавы ""Аэрофлота"" Александрова в хищении 250 млн руб.",1,0,trend,up,russia,0,77,7,суд признать виновный замглавы хищение млн руб,AFLT
2022-07-04,"""Аэрофлот"" до конца года выделит в отдельную структуру техобслуживание и ремонт самолетов",1,0,trend,up,business,0,89,8,конец год выделить отдельный структура техобслуживание ремонт самолет,AFLT
2022-07-05,"Суд признал виновным замглавы ""Аэрофлота"" Александрова в хищении 250 млн руб.",1,0,trend,up,russia,0,77,7,суд признать виновный замглавы хищение млн руб,AFLT
2022-09-07,"""Аэрофлот"" заявил о планах внести в зимнее расписание рейсы на курорты Египта и Гоа",0,1,"trend,volatility",neutral_vol,russia,0,83,7,заявить план внести зимний расписание рейс курорт,AFLT
2022-09-07,"""Аэрофлот"" обновит стратегию развития",0,1,"trend,volatility",neutral_vol,business,0,37,3,обновить стратегия развитие,AFLT
2022-12-29,"""Аэрофлот"" выкупил у ирландского лизингодателя 10 дальнемагистральных Boeing 777",0,1,"trend,volatility",neutral_vol,business,0,80,4,выкупить ирландский лизингодатель дальнемагистральный,AFLT
2023-04-04,"Мосгорсуд снизил срок наказания экс-замглавы ""Аэрофлота"" Александрову",0,0,trend,neutral,russia,0,69,4,снизить срок наказание экс-замглавы,AFLT
2023-04-04,"Мосгорсуд снизил срок наказания экс-замглавы ""Аэрофлота"" Александрову",0,0,trend,neutral,russia,0,69,4,снизить срок наказание экс-замглавы,AFLT
2023-10-11,"""Аэрофлот"" в зимнем расписании будет летать по 86 зарубежным направлениям",0,0,trend,neutral,russia,0,73,5,зимний расписание летать зарубежный направление,AFLT
2023-12-12,"""Аэрофлот"" компенсирует клиентам траты на аннулированные билеты на Пхукет",1,0,trend,up,russia,0,73,5,компенсировать клиент трата аннулировать билет,AFLT
2024-02-12,"""Аэрофлот"" продолжит страховое урегулирование по иностранным бортам при наличии средств",0,0,trend,neutral,business,0,87,7,продолжить страховой урегулирование иностранный борт наличие средство,AFLT
2024-02-12,"Совет директоров ""Аэрофлота"" утвердил программу облигаций объемом 86,92 млрд руб.",0,0,trend,neutral,business,0,81,7,директор утвердить программа облигация объем млрд руб,AFLT
2024-03-28,"Рынок акций РФ превысил 3330п по индексу МосБиржи во главе с ""Аэрофлотом""",1,0,trend,up,business,0,73,7,рынок акция превысить п индекс мосбиржи глава,AFLT
2024-07-15,"""Аэрофлот"" перенес ряд рейсов в ""Шереметьево"" из-за погоды",0,0,trend,neutral,moscow,0,58,4,перенести ряд рейс погода,AFLT
2024-07-23,"""Аэрофлот"" задерживает рейс Каир - Москва почти на шесть часов в ожидании разрешения на вылет",0,0,trend,neutral,russia,0,93,7,задерживать рейс почти час ожидание разрешение вылет,AFLT
2025-01-23,"Летевший из Стамбула в Москву самолет ""Аэрофлота"" экстренно сел в Астрахани",1,1,"trend,volatility",up_vol,russia,0,75,4,лететь самолет экстренно сесть,AFLT
2025-02-17,"""Аэрофлот"" планирует расширить компетенции в ремонте двигателей Airbus A320 и Boeing",0,0,trend,neutral,business,0,84,5,планировать расширить компетенция ремонт двигатель,AFLT
2025-02-17,"""Аэрофлот"" планирует расширить компетенции в ремонте двигателей Airbus A320 и Boeing",0,0,trend,neutral,business,0,84,5,планировать расширить компетенция ремонт двигатель,AFLT
