date,title,label,label_volatility,impact_type,impact_class,section,sentiment,title_len,num_words,clean_title,ticker
2021-01-04,"Биржевой фонд ВТБ по итогам 2020 года закупил почти 0,3 т золота",-1,0,trend,down,business,0,64,8,биржевой фонд итог 2020 год закупить почти золото,VTBR
2021-01-11,"Суд удовлетворил иск ВТБ о взыскании 13,6 млрд руб. с ""Открытие холдинга""",0,0,trend,neutral,business,0,73,8,суд удовлетворить иск взыскание млрд руб открытие холдинг,VTBR
2021-02-03,ВТБ в декабре продал 3 тонны золота и эквивалента,-1,0,trend,down,business,0,49,5,декабрь продать тонна золото эквивалент,VTBR
2021-02-09,ВТБ предупредил о последствиях излишних ограничений для частных инвесторов,-1,0,trend,down,business,0,74,6,предупредить последствие излишний ограничение частный инвестор,VTBR
2021-02-19,"Набсовет ВТБ одобрил условия присоединения ""Возрождения"" к БМ-банку",1,1,"trend,volatility",up_vol,business,0,67,5,одобрить условие присоединение возрождение бм-банк,VTBR
2021-03-31,Структура ВТБ поддержит модернизацию аэровокзального комплекса в Геленджике,1,1,"trend,volatility",up_vol,business,0,75,5,структура поддержать модернизация аэровокзальный комплекс,VTBR
2021-03-31,"""ВТБ Мои инвестиции"" может стать частью экосистем через развитие API",1,1,"trend,volatility",up_vol,business,1,68,6,инвестиция мочь стать часть экосистема развитие,VTBR
2021-04-05,"""Зенит"" выиграл регулярный чемпионат Единой лиги ВТБ",-1,0,trend,down,https:,0,52,6,зенит выиграть регулярный чемпионат единый лига,VTBR
2021-04-05,"Индекс Мосбиржи просел к 3520п, бумаги ВТБ обновили максимум с февраля 2020г",-1,0,trend,down,business,0,76,9,индекс просесть п бумага обновить максимум февраль 2020 г,VTBR
2021-04-19,ВТБ открыл сбор заявок на облигации в рамках секьюритизации портфеля потребкредитов,0,0,trend,neutral,russia,0,83,8,открыть сбор заявка облигация рамка секьюритизация портфель потребкредит,VTBR
2021-04-19,Управляющий ВТБ в Нижегородской области умер на рабочем месте,0,0,trend,neutral,russia,0,61,6,управлять нижегородский область умереть рабочий место,VTBR
2021-04-19,"ВТБ купил 5% в ""Санкт-Петербургской бирже"" у ""НП РТС""",0,0,trend,neutral,russia,0,53,4,купить санкт-петербургский биржа нп,VTBR
2021-04-19,Годовое собрание акционеров ВТБ пройдет 4 июня,0,0,trend,neutral,business,0,46,6,годовой собрание акционер пройти 4 июнь,VTBR
2021-04-19,ВТБ хочет к 2025 году удвоить число активных розничных клиентов,0,0,trend,neutral,business,0,63,8,хотеть 2025 год удвоить число активный розничный клиент,VTBR
2021-04-21,ВТБ увеличил долю в гоночной трассе под Петербургом до 45%,0,0,trend,neutral,business,0,58,4,увеличить доля гоночный трасса,VTBR
2021-05-10,"ВТБ продал миноритарную долю в совладельце ""облачного"" СП с ""Ростелекомом""",-1,0,trend,down,russia,0,74,6,продать миноритарный доля совладелец облачный сп,VTBR
2021-05-10,"ВТБ продал миноритарную долю в совладельце ""облачного"" СП с ""Ростелекомом""",-1,0,trend,down,russia,0,74,6,продать миноритарный доля совладелец облачный сп,VTBR
2021-05-12,OR Group списала займы ВТБ на 324 млн рублей,1,1,"trend,volatility",up_vol,business,0,44,4,списать заем млн рубль,VTBR
2021-05-12,OR Group списала займы ВТБ на 324 млн рублей,1,1,"trend,volatility",up_vol,business,0,44,4,списать заем млн рубль,VTBR
2021-05-13,"""УНИКС"" вышел в полуфинал баскетбольной Единой лиги ВТБ",-1,0,trend,down,https:,0,55,6,уникс выйти полуфинал баскетбольный единый лига,VTBR
2021-05-26,"ВТБ сократит дивиденды на ""префы"" на 16,6% к первой рекомендации",1,0,trend,up,business,1,64,5,сократить дивиденд преф первый рекомендация,VTBR
2021-05-26,Руководство ВТБ прогнозирует годовую прибыль на уровне 270 млрд рублей,1,0,trend,up,business,1,70,7,руководство прогнозировать годовой прибыль уровень млрд рубль,VTBR
2021-05-26,"ВТБ сократит дивиденды на ""префы"" на 16,6% к первой рекомендации",1,0,trend,up,business,1,64,5,сократить дивиденд преф первый рекомендация,VTBR
2021-05-26,Руководство ВТБ прогнозирует годовую прибыль на уровне 270 млрд рублей,1,0,trend,up,business,1,70,7,руководство прогнозировать годовой прибыль уровень млрд рубль,VTBR
2021-05-27,"ВТБ в апреле увеличил запасы драгметаллов на 1,8 тонны",1,1,"trend,volatility",up_vol,business,0,54,5,апрель увеличить запас драгметалл тонна,VTBR
2021-05-31,"ВТБ увеличил долю в ""Санкт-Петербургской"" бирже до 10,8%",0,0,trend,neutral,business,0,56,4,увеличить доля санкт-петербургский биржа,VTBR
2021-06-15,"ВТБ закрыл сделку по продаже гостиницы ""Пекин"" в Москве",0,1,"trend,volatility",neutral_vol,moscow,0,55,4,закрыть сделка продажа гостиница,VTBR
2021-06-17,ВТБ оценил снижение спроса в общепите Москвы после ввода ограничений,-1,0,trend,down,moscow,-1,68,6,оценить снижение спрос общепит ввод ограничение,VTBR
2021-07-05,ВТБ купил оператора электронного документооборота,0,0,trend,neutral,business,0,49,4,купить оператор электронный документооборот,VTBR
2021-07-05,ВТБ купил оператора электронного документооборота,0,0,trend,neutral,business,0,49,4,купить оператор электронный документооборот,VTBR
2021-07-12,ВТБ может заняться проектами в сфере развития социальной инфраструктуры в Петербурге,-1,0,trend,down,russia,0,84,7,мочь заняться проект сфера развитие социальный инфраструктура,VTBR
